Source,Timestamp,TEAM_ID,MISSION_TIME,PACKET_NO,ALTITUDE,PRESSURE,TEMP,BATTERY_VOLTAGE,GPS_TIME,GPS_LAT,GPS_LON,GPS_ALT,GPS_SATS,AX,AY,AZ,GXS,GYS,GZS,FLIGHTSOFTWARE_STATUS,SURFACE_TEMP,SMOKE,CARBON_DIOXIDE,AMMONIA,METHANE,CARBON_MONOXIDE,PITCH,ROLL,YAW
cansat,2025-10-29T21:56:37.646Z,2024-ASI-ROCKET-036,2000-01-01 00:00:00,94,-93.01,1001.49,25.08,6.91,,,,,,-0.07,-0.05,-0.06,-0.22,-0.56,0.67,,,,571.58,59.23,,,-153.69,-29.27,-99.67
cansat,2025-10-29T21:56:39.662Z,2024-ASI-ROCKET-036,2000-01-01 00:00:00,95,-93.01,1001.49,25.08,6.91,,,,,,-0.07,-0.05,-0.06,-0.22,-0.56,0.67,,,,571.58,59.23,,,-153.69,-29.27,-99.67
cansat,2025-10-29T21:56:40.678Z,2024-ASI-ROCKET-036,2000-01-01 00:00:00,96,-93.01,1001.49,25.08,6.91,,,,,,-0.07,-0.05,-0.06,-0.22,-0.56,0.67,,,,571.58,59.23,,,-153.69,-29.27,-99.67
cansat,2025-10-29T21:56:41.895Z,2024-ASI-ROCKET-036,2000-01-01 00:00:00,97,-93.01,1001.49,25.08,6.91,,,,,,-0.07,-0.05,-0.06,-0.22,-0.56,0.67,,,,571.58,59.23,,,-153.69,-29.27,-99.67
cansat,2025-10-29T21:56:42.998Z,2024-ASI-ROCKET-036,2000-01-01 00:00:00,98,-93.86,1001.54,25.08,6.91,,,,,,-0.05,-0.01,-0.06,-0.45,-0.34,0.11,,,,571.58,59.23,,,-153.87,-29.06,-99.64
cansat,2025-10-29T21:56:44.014Z,2024-ASI-ROCKET-036,2000-01-01 00:00:00,99,-93.86,1001.54,25.08,6.91,,,,,,-0.05,-0.01,-0.06,-0.45,-0.34,0.11,,,,571.58,59.23,,,-153.87,-29.06,-99.64
cansat,2025-10-29T21:56:46.031Z,2024-ASI-ROCKET-036,2000-01-01 00:00:00,100,-93.86,1001.54,25.08,6.91,,,,,,-0.05,-0.01,0.13,-0.45,-0.34,0.11,,,,571.58,59.23,,,-153.87,-29.06,-99.64
cansat,2025-10-29T21:56:47.046Z,2024-ASI-ROCKET-036,2000-01-01 00:00:00,101,-93.86,1001.54,25.08,6.91,,,,,,-0.05,-0.01,0.13,-0.45,-0.34,0.11,,,,571.58,59.23,,,-153.87,-29.06,-99.64
cansat,2025-10-29T21:56:48.263Z,2024-ASI-ROCKET-036,2000-01-01 00:00:00,102,-93.86,1001.54,25.08,6.91,,,,,,-0.05,-0.01,0.13,-0.45,-0.34,0.11,,,,571.58,59.23,,,-153.87,-29.06,-99.64
cansat,2025-10-29T21:56:49.341Z,2024-ASI-ROCKET-036,2000-01-01 00:00:00,103,-93.1,1001.48,25.1,6.91,,,,,,-0.02,0.06,0.13,-0.45,-0.34,,,,,571.58,59.23,,,-154.06,-29.18,-99.62
cansat,2025-10-29T21:56:50.359Z,2024-ASI-ROCKET-036,2000-01-01 00:00:00,104,-93.1,1001.48,25.1,6.91,,,,,,-0.02,0.06,0.13,-0.45,-0.34,,,,,572.21,59.45,,,-154.06,-29.18,-99.62
cansat,2025-10-29T21:56:52.374Z,2024-ASI-ROCKET-036,2000-01-01 00:00:00,105,-93.1,1001.48,25.1,6.91,,,,,,-0.02,0.06,-0.12,-0.45,-0.34,,,,,572.21,59.45,,,-154.06,-29.18,-99.62
cansat,2025-10-29T21:56:53.390Z,2024-ASI-ROCKET-036,2000-01-01 00:00:00,106,-93.1,1001.48,25.1,6.91,,,,,,-0.02,0.06,-0.12,-0.45,-0.34,,,,,572.21,59.45,,,-154.06,-29.18,-99.62
cansat,2025-10-29T21:56:54.608Z,2024-ASI-ROCKET-036,2000-01-01 00:00:00,107,-93.1,1001.48,25.1,6.91,,,,,,-0.02,0.06,-0.12,-0.45,-0.34,,,,,572.21,59.45,,,-154.06,-29.18,-99.62
cansat,2025-10-29T21:56:55.669Z,2024-ASI-ROCKET-036,2000-01-01 00:00:00,108,-93.19,1001.52,25.11,6.91,,,,,,-0.02,0.06,-0.12,0.11,-0.78,0.34,,,,572.21,59.45,,,-154.06,-29.15,-99.63
cansat,2025-10-29T21:56:56.685Z,2024-ASI-ROCKET-036,2000-01-01 00:00:00,109,-93.19,1001.52,25.11,6.91,,,,,,-0.02,0.06,-0.12,0.11,-0.78,0.34,,,,571.89,59.34,,,-154.06,-29.15,-99.63
cansat,2025-10-29T21:56:58.701Z,2024-ASI-ROCKET-036,2000-01-01 00:00:00,110,-93.19,1001.52,25.11,6.91,,,,,,-0.02,0.06,0.01,0.11,-0.78,0.34,,,,571.89,59.34,,,-154.06,-29.15,-99.63
cansat,2025-10-29T21:56:59.717Z,2024-ASI-ROCKET-036,2000-01-01 00:00:00,111,-93.19,1001.52,25.11,6.91,,,,,,-0.02,0.06,0.01,0.11,-0.78,0.34,,,,571.89,59.34,,,-154.06,-29.15,-99.63
cansat,2025-10-29T21:57:00.934Z,2024-ASI-ROCKET-036,2000-01-01 00:00:00,112,-93.19,1001.52,25.11,6.91,,,,,,-0.02,0.06,0.01,0.11,-0.78,0.34,,,,571.89,59.34,,,-154.06,-29.15,-99.63
